PID,TIME,CMD
1,00:00:02,/sbin/init
2,00:00:00,[kthreadd]
3,00:00:00,[rcu_gp]
4,00:00:00,[rcu_par_gp]
8,00:00:00,[mm_percpu_wq]
9,00:00:03,[ksoftirqd/0]
10,00:00:00,[rcuc/0]
11,00:00:21,[rcu_preempt]
12,00:00:00,[rcub/0]
13,00:00:00,[migration/0]
14,00:00:00,[idle_inject/0]
16,00:00:00,[cpuhp/0]
17,00:00:00,[cpuhp/1]
18,00:00:00,[idle_inject/1]
19,00:00:00,[migration/1]
20,00:00:00,[rcuc/1]
21,00:00:03,[ksoftirqd/1]
23,00:00:00,[kworker/1:0H-kblockd]
24,00:00:00,[cpuhp/2]
25,00:00:00,[idle_inject/2]
26,00:00:00,[migration/2]
27,00:00:00,[rcuc/2]
28,00:00:03,[ksoftirqd/2]
30,00:00:00,[kworker/2:0H-kblockd]
31,00:00:00,[cpuhp/3]
32,00:00:00,[idle_inject/3]
33,00:00:00,[migration/3]
34,00:00:00,[rcuc/3]
35,00:00:01,[ksoftirqd/3]
38,00:00:00,[kdevtmpfs]
39,00:00:00,[netns]
40,00:00:00,[rcu_tasks_kthre]
41,00:00:00,[kauditd]
42,00:00:00,[khungtaskd]
43,00:00:00,[oom_reaper]
44,00:00:00,[writeback]
45,00:00:00,[kcompactd0]
46,00:00:00,[ksmd]
47,00:00:00,[khugepaged]
136,00:00:00,[kintegrityd]
137,00:00:00,[kblockd]
138,00:00:00,[blkcg_punt_bio]
141,00:00:00,[edac-poller]
142,00:00:00,[devfreq_wq]
143,00:00:00,[watchdogd]
144,00:00:00,[kswapd0]
145,00:00:32,[kworker/u17:0-hci0]
148,00:00:00,[kthrotld]
149,00:00:00,[acpi_thermal_pm]
150,00:00:00,[nvme-wq]
151,00:00:00,[nvme-reset-wq]
152,00:00:00,[nvme-delete-wq]
154,00:00:00,[ipv6_addrconf]
165,00:00:00,[kstrp]
181,00:00:00,[charger_manager]
208,00:00:00,[ata_sff]
209,00:00:00,[scsi_eh_0]
210,00:00:00,[scsi_tmf_0]
211,00:00:00,[scsi_eh_1]
212,00:00:00,[scsi_tmf_1]
213,00:00:00,[scsi_eh_2]
214,00:00:00,[scsi_tmf_2]
215,00:00:00,[scsi_eh_3]
216,00:00:00,[scsi_tmf_3]
