CMD,PID,TIME
/sbin/init,1,00:00:03
[kthreadd],2,00:00:00
[rcu_gp],3,00:00:00
[rcu_par_gp],4,00:00:00
[mm_percpu_wq],8,00:00:00
[ksoftirqd/0],9,00:00:07
[rcuc/0],10,00:00:00
[rcu_preempt],11,00:00:20
[rcub/0],12,00:00:00
[migration/0],13,00:00:01
[idle_inject/0],14,00:00:00
[cpuhp/0],16,00:00:00
[cpuhp/1],17,00:00:00
[idle_inject/1],18,00:00:00
[migration/1],19,00:00:00
[rcuc/1],20,00:00:00
[ksoftirqd/1],21,00:00:01
[cpuhp/2],24,00:00:00
[idle_inject/2],25,00:00:00
[migration/2],26,00:00:00
[rcuc/2],27,00:00:00
[ksoftirqd/2],28,00:00:02
[cpuhp/3],31,00:00:00
[idle_inject/3],32,00:00:00
[migration/3],33,00:00:00
[rcuc/3],34,00:00:00
[ksoftirqd/3],35,00:00:02
[kdevtmpfs],38,00:00:00
[netns],39,00:00:00
[rcu_tasks_kthre],40,00:00:00
[kauditd],41,00:00:00
[khungtaskd],42,00:00:00
[oom_reaper],43,00:00:00
[writeback],44,00:00:00
[kcompactd0],45,00:00:00
[ksmd],46,00:00:00
[khugepaged],47,00:00:00
[kintegrityd],136,00:00:00
[kblockd],137,00:00:00
[blkcg_punt_bio],138,00:00:00
[edac-poller],141,00:00:00
[devfreq_wq],142,00:00:00
[watchdogd],143,00:00:00
[kswapd0],144,00:00:11
[kthrotld],148,00:00:00
[acpi_thermal_pm],149,00:00:00
[nvme-wq],150,00:00:00
[nvme-reset-wq],151,00:00:00
[nvme-delete-wq],152,00:00:00
[ipv6_addrconf],154,00:00:00
[kstrp],165,00:00:00
[charger_manager],181,00:00:00
[ata_sff],209,00:00:00
[scsi_eh_0],211,00:00:00
[scsi_tmf_0],212,00:00:00
[scsi_eh_1],213,00:00:00
[scsi_tmf_1],214,00:00:00
[scsi_eh_2],215,00:00:00
[scsi_tmf_2],216,00:00:00
[scsi_eh_3],217,00:00:00
[scsi_tmf_3],218,00:00:00
[jbd2/sda2-8],245,00:00:03
[ext4-rsv-conver],246,00:00:00
/usr/bin/lvmetad,292,00:00:00
/usr/sbin/haveged,348,00:00:23
/usr/lib/systemd/systemd-journald,349,00:00:03
/usr/lib/systemd/systemd-udevd,350,00:00:01
[cryptd],435,00:00:00
[cfg80211],575,00:00:00
[kmemstick],576,00:00:00
[loop0],687,00:00:00
[loop1],689,00:00:00
[loop2],691,00:00:00
[loop3],693,00:00:00
[loop4],694,00:00:00
[loop5],696,00:00:00
[loop6],698,00:00:00
[loop7],699,00:00:00
/usr/lib/opera/opera,701,00:00:06
[loop8],702,00:00:00
/usr/lib/bluetooth/bluetoothd,715,00:00:00
avahi-daemon:,716,03:13:16
/usr/bin/crond,717,00:00:00
/usr/bin/dbus-daemon,718,00:00:32
/usr/bin/NetworkManager,719,00:01:41
/usr/lib/polkit-1/polkitd,720,00:00:04
/usr/lib/systemd/systemd-logind,721,00:00:01
/usr/lib/snapd/snapd,722,00:00:16
avahi-daemon:,736,00:00:00
/usr/bin/cupsd,737,00:00:00
/usr/bin/lightdm,743,00:00:00
/usr/lib/accounts-daemon,767,00:00:00
/usr/bin/ModemManager,803,00:00:00
/usr/bin/wpa_supplicant,807,00:01:57
/usr/lib/deepin-daemon/dde-system-daemon,963,00:00:30
/usr/lib/rtkit-daemon,1078,00:00:00
[krfcommd],1106,00:00:00
[kworker/3:2H-events_highpri],1134,00:00:00
/usr/lib/upowerd,1139,00:00:02
/usr/lib/udisks2/udisksd,1178,00:00:04
[kworker/0:0H-kblockd],1309,00:00:00
