"Name","SI","Handles","VM","WS","PM","NPM","Path","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"(sd-pam)","1013",,"222117888","3076096","0","0",,"System.Diagnostics.Process (systemd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1014","0",,"False","11/26/2019 08:04:44",,"1014",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","(sd-pam)","15","1013",,"System.Diagnostics.ProcessThreadCollection",,"222117888","222117888","False",,,,"3076096","3076096",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"accounts-daemon","764",,"247046144","7344128","0","0",,"System.Diagnostics.Process (systemd)",,"0.05",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","764","0",,"False","11/26/2019 08:01:25",,"764",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","accounts-daemon","15","764",,"System.Diagnostics.ProcessThreadCollection",,"247046144","247046144","False",,,,"7344128","7344128",,,"0","","True","00:00:00.0200000","00:00:00.0500000","00:00:00.0300000",,
"acpi_thermal_pm","0",,"0","0","0","0",,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","149","-20",,"False","11/26/2019 08:00:51",,"149",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","RealTime","0","0","acpi_thermal_pm","15","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"agent","1028","8","243478528","4800512","0","0","/usr/lib/geoclue-2.0/demos/agent","System.Diagnostics.Process (startdde)",,"0.01",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1298","0",,"False","11/26/2019 08:05:09",,"1298",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","agent","15","1028",,"System.Diagnostics.ProcessThreadCollection","8","243478528","243478528","False",,,,"4800512","4800512",,"System.Diagnostics.ProcessModule (agent)","0","","True","00:00:00","00:00:00.0100000","00:00:00.0100000",,
"applet.py","1028","9","71421952","42278912","0","0","/usr/bin/python3.7","System.Diagnostics.Process (startdde)",,"1.16",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1473","0",,"False","11/26/2019 08:05:39",,"1473",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","applet.py","15","1028",,"System.Diagnostics.ProcessThreadCollection","9","71421952","71421952","False",,,,"42278912","42278912",,"System.Diagnostics.ProcessModule (python3.7)","0","","True","00:00:00.2100000","00:00:01.1600000","00:00:00.9500000",,
"at-spi-bus-laun","1137","10","313810944","6311936","0","0","/usr/lib/at-spi-bus-launcher","System.Diagnostics.Process (systemd)",,"0.02",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1137","0",,"False","11/26/2019 08:04:53",,"1137",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","at-spi-bus-laun","15","1137",,"System.Diagnostics.ProcessThreadCollection","10","313810944","313810944","False",,,,"6311936","6311936",,"System.Diagnostics.ProcessModule (at-spi-bus-launcher)","0","","True","00:00:00.0100000","00:00:00.0200000","00:00:00.0100000",,
"at-spi2-registr","1137","9","167698432","7577600","0","0","/usr/lib/at-spi2-registryd","System.Diagnostics.Process (systemd)",,"0.27",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1180","0",,"False","11/26/2019 08:04:54",,"1180",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","at-spi2-registr","15","1137",,"System.Diagnostics.ProcessThreadCollection","9","167698432","167698432","False",,,,"7577600","7577600",,"System.Diagnostics.ProcessModule (at-spi2-registryd)","0","","True","00:00:00.1500000","00:00:00.2700000","00:00:00.1200000",,
"ata_sff","0",,"0","0","0","0",,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","211","-20",,"False","11/26/2019 08:00:52",,"211",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","RealTime","0","0","ata_sff","15","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"avahi-daemon","713",,"13213696","6361088","0","0",,"System.Diagnostics.Process (systemd)",,"100.1",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","713","0",,"False","11/26/2019 08:01:20",,"713",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","avahi-daemon","15","713",,"System.Diagnostics.ProcessThreadCollection",,"13213696","13213696","False",,,,"6361088","6361088",,,"0","","True","00:00:10.0700000","00:01:40.1000000","00:01:30.0300000",,
"avahi-daemon","713",,"10792960","319488","0","0",,"System.Diagnostics.Process (avahi-daemon)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","732","0",,"False","11/26/2019 08:01:24",,"732",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","avahi-daemon","15","713",,"System.Diagnostics.ProcessThreadCollection",,"10792960","10792960","False",,,,"319488","319488",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"bamfdaemon","1216","12","313815040","54738944","0","0","/usr/lib/bamf/bamfdaemon","System.Diagnostics.Process (systemd)",,"1.21",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1216","0",,"False","11/26/2019 08:05:01",,"1216",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","bamfdaemon","15","1216",,"System.Diagnostics.ProcessThreadCollection","12","313815040","313815040","False",,,,"54738944","54738944",,"System.Diagnostics.ProcessModule (bamfdaemon)","0","","True","00:00:00.2900000","00:00:01.2100000","00:00:00.9200000",,
"bash","3162","34","11223040","5685248","0","0","/usr/bin/bash","System.Diagnostics.Process (code)",,"0.06",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3162","0",,"False","11/26/2019 12:37:36",,"3162",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","bash","15","3162",,"System.Diagnostics.ProcessThreadCollection","34","11223040","11223040","False",,,,"5685248","5685248",,"System.Diagnostics.ProcessModule (bash)","0","","True","00:00:00","00:00:00.0600000","00:00:00.0600000",,
